Key,Id,Kyrgyz(ky),English(en),Russian(ru),Arabic(ar),Bulgarian(bg),Catalan(ca),Croatian(hr),Czech(cs),Danish(da),Dutch(nl),Estonian(et),Finnish(fi),French(fr),German(de),Greek(el),Hebrew(he),Hindi(hi),Hungarian(hu),Indonesian(id),Italian(it),Japanese(ja),Korean(ko),Latvian(lv),Lithuanian(lt),Malay(ms),Norwegian(no),Polish(pl),Portuguese(pt),Romanian(ro),Serbian(sr),Chinese (Simplified)(zh-Hans),Slovak(sk),Slovenian(sl),Spanish(es),Swedish(sv),Filipino (Philippines)(fil-PH),Thai(th),Turkish(tr),Ukrainian(uk),Vietnamese(vi)
сolor_train,,Түстүү поезд,Colorful train,Цветной поезд,قطار اللون,Цветно влакче,Tren de colors,Vlak u boji,Barevný vlak,Farvetog,Kleur trein,Värvirong,Värillinen juna,Train de couleurs,Farbzug,Έγχρωμο τρένο,רכבת צבעונית,रंग ट्रेन,Színes vonat,Kereta warna,Treno dei colori,カラートレイン,컬러트레인,Krāsu vilciens,Spalvotas traukinys,Kereta api berwarna,Fargetog,Kolorowy pociąg,Trem colorido,Tren de culoare,Колор воз,彩色列车,Farebný vlak,Barvni vlak,tren de colores,Färg tåg,Kulay ng tren,รถไฟสี,Renk treni,Кольоровий поїзд,Tàu màu
princess_dressing,,Ханбийке,Princess dressing,Принцесса,ترتيبات الأميرة,Обличане на принцеса,Vestir una princesa,Oblačenje princeze,Oblékání princezny,Prinsesseforklædning,prinsessendressing,printsess kaste,prinsessakastike,habillage de princesse,Prinzessinnen-Dressing,ντύσιμο πριγκίπισσας,הלבשת נסיכות,राजकुमारी पोशाक,hercegnő öltözködés,balutan putri,vestirsi da principessa,プリンセスドレッシング,공주 드레싱,princešu ģērbšanās,princesės apsirengimas,berpakaian puteri,prinsessedressing,ubieranie księżniczki,vestido de princesa,îmbrăcăminte de prințesă,облачење принцезе,公主装扮,princeznovské obliekanie,obleka princese,vestirse de princesa,prinsessdressing,pagbibihis ng prinsesa,แต่งตัวเจ้าหญิง,prenses soyunma,одягання принцеси,công chúa mặc quần áo
room_cleaning,,Тазалоо,Room cleaning,Уборка ,تنظيف الغرفة,почистване на стаята,neteja de l'habitació,čišćenje sobe,úklid pokoje,rengøring af værelset,schoonmaak van de kamer,ruumi koristamine,huoneen siivous,nettoyage des chambres,Zimmerreinigung,καθαρισμός δωματίου,ניקיון החדר,रूम क्लीनिंग,szoba takarítás,pembersihan kamar,pulizia della camera,部屋の掃除,방 청소,telpu uzkopšana,kambario valymas,pembersihan bilik,rengjøring av rommet,sprzątanie pokoju,limpeza de quarto,curatenie in camera,чишћење собе,房间清洁,upratovanie miestnosti,čiščenje prostorov,limpieza de habitaciones,städning av rummet,paglilinis ng silid,ทำความสะอาดห้อง,oda temizliği,прибирання кімнати,dọn phòng
beauty_salon,,Сулуулук салону,Beauty salon,салон красоты,صالون تجميل,салон за красота,saló de bellesa,salon ljepote,kosmetický salon,skønhedssalon,schoonheidssalon,ilusalong,kauneushoitola,salon de beauté,Schönheitssalon,ινστιτούτο αισθητικής,סלון יופי,ब्यूटी सैलून,szépségszalon,salon kecantikan,salone di bellezza,美容室,미용실,skaistumkopšanas salons,grožio salonas,salon kecantikan,skjønnhetssalong,salon piękności,salão de beleza,salon de înfrumusețare,козметички салон,美容院,salón krásy,kozmetični salon,salón de belleza,skönhetssalong,beauty salon,ร้านเสริมสวย,güzellik salonu,салон краси,thẩm mỹ viện
mini_game_cake,,Торт жасоо,Cake,Торт,كعكة,торта,pastís,torta,dort,kage,taart,kook,kakku,gâteau,Kuchen,κέικ,עוּגָה,केक,torta,kue,torta,ケーキ,케이크,kūka,tortas,kek,kake,ciasto,bolo,tort,цаке,蛋糕,koláč,torta,pastel,tårta,cake,เค้ก,kek,торт,bánh ngọt
mini_game_ice_cream,,Балмуздак,Ice-cream,Мороженое,بوظة,сладолед,Gelat,Sladoled,Zmrzlina,Is,Ijsje,Jäätis,Jäätelö,Glace,Eiscreme,Παγωτό,גלידה,आइसक्रीम,Fagylalt,Es krim,Gelato,アイスクリーム,아이스크림,Saldējums,Ledai,aiskrim,Iskrem,Lody,Sorvete,Înghețată,Сладолед,冰淇淋,Zmrzlina,Sladoled,Helado,Glass,Ice cream,ไอศครีม,Dondurma,Морозиво,Kem
mini_game_salad,,Салат жасоо,Salad,Салат,سلطة,Салата,Amanida,Salata,Salát,Salat,Salade,Salat,Salaatti,Salade,Salat,Σαλάτα,סָלָט,सलाद,Saláta,Salad,Insalata,サラダ,샐러드,Salāti,Salotos,salad,Salat,Sałatka,Salada,Salată,Салата,沙拉,Šalát,Solata,Ensalada,Sallad,Salad,สลัด,Salata,Салат,Xa lát
mini_game_burger,,Бургер,Burger,Бургер,برغر,бургер,hamburguesa,hamburger,hamburger,burger,hamburger,burger,hampurilainen,hamburger,Burger,μπιφτέκι,המבורגר,बर्गर,burger,burgernya,hamburger,バーガー,버거,burgers,mėsainis,burger,burger,burgera,hambúrguer,burger,бургер,汉堡,hamburger,burger,hamburguesa,hamburgare,burger,ชาวเมือง,burger,бургер,bánh mì kẹp thịt
mini_game_pet_food,,үй жаныбары үчүн тамак,Puppy`s food,Угощение для питомца,طعام الجراء,храна за кученца,menjar del cadell,hrana za štene,krmivo pro štěně,krmivo pro štěně,hvalpens mad,puppyvoer,pennun ruokaa,nourriture pour chiot,Welpenfutter,τροφή για κουτάβι,אוכל של גור,पिल्ले का भोजन,kiskutya étele,makanan anak anjing,il cibo del cucciolo,子犬の食べ物,강아지의 음식,kucēna barība,šuniuko maistas,makanan anak anjing,valpemat,jedzenie dla szczeniąt,comida de cachorrinho,hrana catelului,храна за штене,小狗的食物,krmivo pre šteniatko,hrana za kužke,comida para cachorros,valpens mat,pagkain ng tuta,อาหารของลูกสุนัข,köpek yavrusu yemeği,корм для цуценят,thức ăn cho chó con
mini_game_pizza,,Пицца,Pizza,Пицца,بيتزا,пица,pizza,pizza,pizza,pizza,pizza,pitsa,pizza,pizza,Pizza,πίτσα,פִּיצָה,पिज़्ज़ा,pizza,pizza,Pizza,ピザ,피자,pica,pica,piza,pizza,pizza,pizza,pizza,пизза,比萨,pizza,pica,pizza,pizza,pizza,พิซซ่า,pizza,піца,pizza
farm_orchestra_title,,Ферма оркестри,Farm orchestra,оркестр Фермы,أوركسترا المزرعة,фермерска група,banda de granja,farm bend,farmářská kapela,farm band,boerderij band,talubänd,maatilabändi,groupe de ferme,Farmband,αγροτική μπάντα,להקת חווה,फार्म बैंड,farm zenekar,orkestra pertanian,orchestra agricola,ファームオーケストラ,농장 오케스트라,saimniecības orķestris,ūkio orkestras,orkestra ladang,gårdsorkester,orkiestra rolnicza,orquestra de fazenda,orchestra fermei,фармски оркестар,农场管弦乐队,farmársky orchester,kmečki orkester,orquesta de granja,gårdsorkester,orkestra ng sakahan,วงออเคสตราฟาร์ม,çiftlik orkestrası,оркестр ферми,dàn nhạc nông trại
ocean_orchestra,,Суу астындагы оркестр,Ocean orchestra,Подводный оркестр,أوركسترا تحت الماء,подводен оркестър,orquestra submarina,orquestra submarina,podvodní orchestr,undervandsorkester,onderwater orkest,allveeorkester,vedenalainen orkesteri,orchestre sous-marin,Unterwasserorchester,υποβρύχια ορχήστρα,תזמורת מתחת למים,पानी के नीचे ऑर्केस्ट्रा,víz alatti zenekar,orkestra bawah air,orchestra subacquea,水中オーケストラ,수중 오케스트라,zemūdens orķestris,povandeninis orkestras,orkestra bawah air,undervannsorkester,podwodna orkiestra,orquestra subaquática,orchestra subacvatică,подводни оркестар,水下管弦乐队,podvodný orchester,podvodni orkester,orquesta submarina,undervattensorkester,orkestra sa ilalim ng dagat,วงออเคสตราใต้น้ำ,sualtı orkestrası,підводний оркестр,dàn nhạc dưới nước
farm_puzzle,,Фермадагы  баш катырма,Farm puzzle,Фермерский паззл,لغز المزارع,Пъзел на фермера,Trencaclosques del pagès,Farmerova zagonetka,Farmářova hádanka,Landmands puslespil,Boerenpuzzel,Põllumehe mõistatus,Maanviljelijän palapeli,Puzzle du fermier,Bauernpuzzle,Παζλ του Αγρότη,פאזל איכר,किसान की पहेली,Gazda rejtvénye,Teka-teki Petani,Puzzle del contadino,ファーマーズパズル,농부의 퍼즐,Zemnieka mīkla,Ūkininko dėlionė,Teka-teki Petani,Bondens puslespill,Zagadka Farmera,Quebra-cabeça do fazendeiro,Puzzle-ul fermierului,Фармерова слагалица,农民的难题,Farmárova hádanka,Kmečka uganka,El rompecabezas del granjero,Bondens pussel,Palaisipan ng Magsasaka,ปริศนาของชาวนา,Çiftçinin Bulmacası,Фермерський паззл,Câu đố của người nông dân
hide_and_seek,,Жашынуу жана издөө оюну,Hide and Seek,Игра в прятки,الغميضة,криеница,amagar i buscar,skrivača,schovávat se a hledat,gemmeleg,verstoppertje,peitust,piiloutua ja etsiä,cache-cache,verstecken und suchen,κρυφτό παιχνίδι,מַחֲבוֹאִים,लुकाछिपी,bújócska,petak umpet,nascondino,かくれんぼ,숨바꼭질,slēpties,slėptis ir ieškoti,sorok-sorok,gjemsel,ukrywać się i szukać,esconde-esconde,v-aţi ascunselea,скривати се,捉迷藏,skrývať a hľadať,skrivalnice,al escondite,kurragömma,magtago at maghanap,ซ่อนหา,saklan ve ara,хованки,trốn tìm
bubbles,,көбүктүн жарылышы,Bubbles,Лопание пузырей,فقاعات,мехурчета,bombolles,mjehurići,bubliny,bobler,bubbels,mullid,kuplia,bulles,Blasen,φυσαλίδες,בועות,बबल,buborékok,gelembung,bolle,泡,거품,burbuļi,burbuliukai,buih,bobler,bąbelki,bolhas,bule,мехурићи,气泡,bubliny,mehurčki,burbujas,bubblor,mga bula,ฟองอากาศ,kabarcıklar,бульбашки,bong bóng
car_wash,,Унаа жуугуч,car wash,Автомойка,غسيل السيارات,автомивка,rentat de cotxes,autopraonica,mytí auta,bilvask,auto wassen,autopesu,autopesu,lavage de voiture,Waschanlage,πλυντήριο αυτοκινήτων,שטיפת מכוניות,कार धुलाई,autómosó,tempat cuci mobil,autolavaggio,洗車,세차장,auto mazgāšana,automobilių plovykla,cuci kereta,bilvask,myjnia samochodowa,lavagem de carro,spălătorie auto,аутопраоница,洗车,umývanie auta,avtopralnica,lavado de autos,biltvätt,paghuhugas ng sasakyan,ล้างรถ,araba yıkama,автомийка,rửa xe
who_lives_where,,кимдин үйү?,Whose Home?,чей дом?,الذي منزله,чий дом,la casa del qual,čiji dom,čí domov,hvis hjem,wiens huis,kelle kodu,kenen kotiin,dont la maison,wessen Zuhause,του οποίου το σπίτι,ביתו של מי,किसका घर,akinek az otthona,rumah siapa,la cui casa,誰の家,누구의 집,kura mājas,kieno namai,rumah siapa,hvem sitt hjem,czyj dom,cuja casa,a cărui casă,чији дом,谁的家,koho domov,čigav dom,cuya casa,vems hem,kaninong tahanan,บ้านของใคร,kimin evi,чий дім,nhà của ai
all_video,,Баары,all,все ,الجميع,всички,tots,sve,vše,alle,alle,kõik,kaikki,tout,alle,όλοι,כֹּל,सभी,minden,semua,tutto,全て,모두,visi,visi,semua,alle,Wszystko,todos,toate,све,全部,všetky,vse,todos,alla,lahat,ทั้งหมด,Tümü,все,tất cả
downloaded_videos,,жүктөлүп алынган,downloaded,скачанные,تم تنزيله,изтеглени,descarregat,preuzeto,staženo,downloadet,gedownload,alla laaditud,ladattu,téléchargé,heruntergeladen,κατεβάσει,הורד,डाउनलोड,letöltve,diunduh,scaricati,ダウンロードされた,다운로드됨,lejupielādēts,atsisiųstas,dimuat turun, lastet ned,pobrany,baixados,descărcat,преузето,下载的,stiahnuté,preneseno,descargados,nedladdade,na-download,ดาวน์โหลดแล้ว,indirildi,завантажено,đã tải xuống
favorite_videos,,Тандалмалар,favorite,избранные,مفضل,любими,preferits,omiljeni,oblíbený,favorit,favoriet,lemmik,suosikki, préférée,Favorit,ευνοούμενος,מוּעֲדָף,पसंदीदा,kedvenc,favorit,preferito,お気に入り,가장 좋아하는,mīļākie,mėgstamiausias,kegemaran,favoritt,ulubiony,favorito,favorit,омиљени,最喜欢的,obľúbené,najljubši,favorito,favorit,paborito,ที่ชื่นชอบ,favori,улюблений,yêu thích
