Key,Id,Kyrgyz(ky),English(en),Russian(ru),Arabic(ar),Bulgarian(bg),Catalan(ca),Croatian(hr),Czech(cs),Danish(da),Dutch(nl),Estonian(et),Finnish(fi),French(fr),German(de),Greek(el),Hebrew(he),Hindi(hi),Hungarian(hu),Indonesian(id),Italian(it),Japanese(ja),Korean(ko),Latvian(lv),Lithuanian(lt),Malay(ms),Norwegian(no),Polish(pl),Portuguese(pt),Romanian(ro),Serbian(sr),Chinese (Simplified)(zh-Hans),Slovak(sk),Slovenian(sl),Spanish(es),Swedish(sv),Filipino (Philippines)(fil-PH),Thai(th),Turkish(tr),Ukrainian(uk),Vietnamese(vi)
purchase_advantages_1,109,Коопсуз жана ар түрдүү мазмун,Safe and diverse content,Безопасный и разнообразный контент,محتوى آمن ومتنوع,Безопасно и разнообразно съдържание,Contingut segur i divers,Siguran i raznolik sadržaj,Bezpečný a rozmanitý obsah,Sikkert og varieret indhold,Veilige en gevarieerde inhoud,Turvaline ja mitmekesine sisu,Turvallista ja monipuolista sisältöä,Contenu sûr et diversifié,Sichere und vielfältige Inhalte,Ασφαλές και ποικίλο περιεχόμενο,תוכן בטוח ומגוון,सुरक्षित और विविध सामग्री,Biztonságos és változatos tartalom,Konten yang aman dan beragam,Contenuti sicuri e diversificati,安全で多様なコンテンツ,안전하고 다양한 콘텐츠,Drošs un daudzveidīgs saturs,Saugus ir įvairus turinys,Kandungan selamat dan pelbagai,Trygg og variert innhold,Bezpieczna i różnorodna treść,Conteúdo seguro e diversificado,Conținut sigur și divers,Безбедан и разноврстан садржај,内容安全多样,Bezpečný a rôznorodý obsah,Varne in raznolike vsebine,Contenido seguro y diverso,Säkert och mångsidigt innehåll,Ligtas at magkakaibang nilalaman,เนื้อหาที่ปลอดภัยและหลากหลาย,Güvenli ve çeşitli içerik,Безпечний і різноманітний контент,Nội dung an toàn và đa dạng
purchase_advantages_2,110,39 тилде жеткиликтүү,Available in 39 languages,Доступно на 39 языках,متوفر بـ 39 لغة,Предлага се на 39 езика,Disponible en 39 idiomes,Dostupno na 39 jezika,K dispozici ve 39 jazycích,Tilgængelig på 39 sprog,Beschikbaar in 39 talen,Saadaval 39 keeles,Saatavilla 39 kielellä,Disponible en 39 langues,Verfügbar in 39 Sprachen,Διαθέσιμο σε 39 γλώσσες,זמין ב-39 שפות,39 भाषाओं में उपलब्ध,39 nyelven elérhető,Tersedia dalam 39 bahasa,Disponibile in 39 lingue,39の言語で利用可能,39개 언어로 제공,Pieejams 39 valodās,Galima 39 kalbomis,Tersedia dalam 39 bahasa,Tilgjengelig på 39 språk,Dostępne w 39 językach,Disponível em 39 idiomas,Disponibil în 39 de limbi,Доступно на 39 језика,提供 39 种语言版本,Dostupné v 39 jazykoch,Na voljo v 39 jezikih,Disponible en 39 idiomas,Tillgänglig på 39 språk,Magagamit sa 39 na wika,มีให้บริการใน 39 ภาษา,39 dilde mevcuttur,Доступно 39 мовами,Có sẵn trong 39 ngôn ngữ
purchase_advantages_3,111,50дөн ашык оюндар жана балдар ырлары,More than 50 games and Nursery Rhymes,Более 50 игр и детских песенок,أكثر من 50 لعبة وأنشودة للأطفال,Повече от 50 игри и детски песнички,Més de 50 jocs i cançons de bressol,Više od 50 igara i dječijih pjesmica,Více než 50 her a dětských říkanek,Mere end 50 spil og børnerim,Meer dan 50 educatieve spellen en video's,Rohkem kui 50 mängu ja lastelaulu,Yli 50 opettavaista peliä ja videota,Plus de 50 jeux et vidéos éducatifs,Mehr als 50 Lernspiele und Videos,Περισσότερα από 50 εκπαιδευτικά παιχνίδια και βίντεο,יותר מ-50 משחקים וסרטונים חינוכיים,50 से अधिक शैक्षिक खेल और वीडियो,Több mint 50 oktatójáték és videó,Lebih dari 50 permainan dan video edukasi,Oltre 50 giochi e video educativi,50以上の教育ゲームとビデオ,50개 이상의 교육용 게임과 비디오,Vairāk nekā 50 izglītojošas spēles un video,Daugiau nei 50 edukacinių žaidimų ir vaizdo įrašų,Lebih daripada 50 permainan dan video pendidikan,Mer enn 50 pedagogiske spill og videoer,Ponad 50 gier i filmów edukacyjnych,Mais de 50 jogos e vídeos educativos,Peste 50 de jocuri și videoclipuri educaționale,Више од 50 едукативних игара и видео записа,超过 50 个教育游戏和视频,Viac ako 50 vzdelávacích hier a videí,Več kot 50 izobraževalnih iger in videoposnetkov,Más de 50 juegos y vídeos educativos,Mer än 50 pedagogiska spel och videor,Higit sa 50 pang-edukasyon na laro at video,เกมและวีดิโอเพื่อการศึกษา มากกว่า 50 รายการ,50'den fazla eğitici oyun ve video,Більше 50 навчальних ігор та відео,Hơn 50 trò chơi và video giáo dục
purchase_advantages_4,112,Оюн аркылуу үйрөнүү,Learning through play,Обучение через игру,التعلم من خلال اللعب,Учене чрез игра,Aprenentatge a través del joc,Učenje kroz igru,Učení hrou,Læring gennem leg,Spelenderwijs leren,Õppimine läbi mängu,Oppiminen leikin kautta,Apprendre par le jeu,Spielend lernen,Μάθηση μέσα από το παιχνίδι,למידה דרך משחק,खेल के माध्यम से सीखना,Tanulás játékon keresztül,Belajar melalui bermain,Imparare attraverso il gioco,遊びを通して学ぶ,놀이를 통한 학습,Mācīšanās caur spēli,Mokymasis per žaidimą,Belajar melalui bermain,Læring gjennom lek,Nauka poprzez zabawę,Aprendendo brincando,Învățarea prin joc,Учење кроз игру,通过玩耍来学习,Učenie hrou,Učenje skozi igro,Aprender jugando,Lärande genom lek,Pag-aaral sa pamamagitan ng paglalaro,การเรียนรู้ผ่านการเล่น,Oyun yoluyla öğrenme,Навчання через гру,Học thông qua vui chơi
purchase_advantages_5,113,Интернетсиз иштейт,Works without internet,Работает без интернета,يعمل بدون انترنت,Работи без интернет,Funciona sense internet,Radi bez interneta,Funguje bez internetu,Virker uden internet,Werkt zonder internet,Töötab ilma internetita,Toimii ilman internetiä,Fonctionne sans internet,Funktioniert ohne Internet,Λειτουργεί χωρίς internet,עובד ללא אינטרנט,इंटरनेट के बिना काम करता है,Internet nélkül működik,Bekerja tanpa internet,Funziona senza Internet,インターネットなしでも動作します,인터넷 없이 작동,Darbojas bez interneta,Veikia be interneto,Berfungsi tanpa internet,Fungerer uten internett,Działa bez internetu,Funciona sem internet,Functioneaza fara internet,Ради без интернета,无需互联网即可工作,Funguje bez internetu,Deluje brez interneta,Funciona sin internet,Fungerar utan internet,Gumagana nang walang internet,ทำงานโดยไม่ใช้อินเทอร์เน็ต,İnternet olmadan çalışır,Працює без інтернету,Hoạt động mà không cần internet
purchase_advantages_10,118,Үзгүлтүксүз жаңыртуулар,Regular updates,Регулярные обновления,تحديثات منتظمة,Редовни актуализации,Actualitzacions periòdiques,Redovita ažuriranja,Pravidelné aktualizace,Regelmæssige opdateringer,Regelmatige updates,Regulaarsed uuendused,Säännölliset päivitykset,Mises à jour régulières,Regelmäßige Updates,Τακτικές ενημερώσεις,עדכונים שוטפים,नियमित अपडेट,Rendszeres frissítések,Pembaruan rutin,Aggiornamenti regolari,定期的なアップデート,정기 업데이트,Regulāri atjauninājumi,Reguliarūs atnaujinimai,Kemas kini biasa,Regelmessige oppdateringer,Regularne aktualizacje,Atualizações regulares,Actualizări regulate,Редовна ажурирања,定期更新,Pravidelné aktualizácie,Redne posodobitve,Actualizaciones periódicas,Regelbundna uppdateringar,Mga regular na update,การปรับปรุงปกติ,Düzenli güncellemeler,Регулярні поновлення,Cập nhật thường xuyên
purchase_advantages_11,119,"1,5-4 жаштагы балдарга арналган",Created for children 1.5-4 years old,Создано для малышей 1.5–4 лет,مُصمم للأطفال من عمر 1.5 إلى 4 سنوات,"Създадено за деца на възраст 1,5-4 години","Creat per a nens d'1,5 a 4 anys","Namijenjeno djeci od 1,5 do 4 godine","Určeno pro děti ve věku 1,5-4 let","Skabt til børn i alderen 1,5-4 år","Gemaakt voor kinderen van 1,5-4 jaar oud","Mõeldud lastele vanuses 1,5–4 aastat","Suunniteltu 1,5–4-vuotiaille lapsille","Créé pour les enfants de 1,5 à 4 ans","Erstellt für Kinder von 1,5 bis 4 Jahren","Δημιουργήθηκε για παιδιά 1,5-4 ετών",נוצר לילדים בגילאי 1.5-4 שנים,1.5-4 वर्ष के बच्चों के लिए बनाया गया,"1,5-4 éves gyermekek számára készült","Dibuat untuk anak usia 1,5-4 tahun","Creato per bambini da 1,5 a 4 anni",1.5～4歳のお子様向けに作られています,1.5~4세 어린이를 위해 제작되었습니다.,"Paredzēts bērniem vecumā no 1,5 līdz 4 gadiem","Sukurta 1,5–4 metų vaikams",Dicipta untuk kanak-kanak berumur 1.5-4 tahun,"Laget for barn i alderen 1,5–4 år","Stworzone dla dzieci w wieku 1,5-4 lat","Criado para crianças de 1,5 a 4 anos","Creat pentru copii cu vârsta cuprinsă între 1,5 și 4 ani","Намењено деци узраста од 1,5-4 године",专为1.5-4岁儿童设计,"Vytvorené pre deti vo veku 1,5-4 roky","Zasnovan za otroke, stare od 1,5 do 4 let","Creado para niños de 1,5 a 4 años.","Skapad för barn i åldern 1,5–4 år",Nilikha para sa mga bata 1.5-4 taong gulang,สร้างมาเพื่อเด็กอายุ 1.5-4 ปี,"1,5-4 yaş arası çocuklar için yaratıldı",Створено для дітей 1.5–4 років,"Dành cho trẻ em từ 1,5-4 tuổi"
purchase_advantages_6,114,Майда моторикасын өнүктүрүү,Development of fine motor skills,Развитие мелкой моторики,تنمية المهارات الحركية الدقيقة,Развитие на фините двигателни умения,Desenvolupament de la motricitat fina,Razvoj fine motorike,Rozvoj jemné motoriky,Udvikling af finmotoriske færdigheder,Ontwikkeling van fijne motoriek,Peenmotoorika arendamine,Hienomotoristen taitojen kehittäminen,Développement de la motricité fine,Entwicklung der Feinmotorik,Ανάπτυξη λεπτών κινητικών δεξιοτήτων,פיתוח מיומנויות מוטוריות עדינות,सूक्ष्म मोटर कौशल का विकास,Finommotoros készségek fejlesztése,Pengembangan keterampilan motorik halus,Sviluppo delle capacità motorie fini,微細運動能力の発達,미세 운동 능력 개발,Smalko motoriku attīstība,Smulkiosios motorikos lavinimas,Perkembangan kemahiran motor halus,Utvikling av finmotoriske ferdigheter,Rozwój małej motoryki,Desenvolvimento de habilidades motoras finas,Dezvoltarea abilităților motorii fine,Развој финих моторичких способности,精细运动技能的发展,Rozvoj jemnej motoriky,Razvoj finih motoričnih sposobnosti,Desarrollo de la motricidad fina,Utveckling av finmotorik,Pag-unlad ng mahusay na mga kasanayan sa motor,การพัฒนาทักษะการเคลื่อนไหวกล้ามเนื้อมัดเล็ก,İnce motor becerilerinin geliştirilmesi,Розвиток дрібної моторики,Phát triển kỹ năng vận động tinh
purchase_advantages_7,115,Майда моторикасын өнүктүрүү,Development of child logic,Развитие логики ребенка,تنمية منطق الطفل,Развитие на детската логика,Desenvolupament de la lògica infantil,Razvoj dječje logike,Rozvoj dětské logiky,Udvikling af børnelogik,Ontwikkeling van kinderlogica,Lapse loogika arendamine,Lapsen logiikan kehittäminen,Développement de la logique de l'enfant,Entwicklung der Kinderlogik,Ανάπτυξη της παιδικής λογικής,פיתוח היגיון ילדים,बाल तर्क का विकास,Gyermeklogika fejlesztése,Perkembangan logika anak,Sviluppo della logica infantile,子ロジックの開発,아동 논리의 발달,Bērna loģikas attīstība,Vaiko logikos ugdymas,Perkembangan logik kanak-kanak,Utvikling av barnelogikk,Rozwój logiki dziecka,Desenvolvimento da lógica infantil,Dezvoltarea logicii copilului,Развој дечје логике,儿童逻辑能力的发展,Rozvoj detskej logiky,Razvoj otroške logike,Desarrollo de la lógica infantil.,Utveckling av barnlogik,Pag-unlad ng lohika ng bata,การพัฒนาตรรกะของเด็ก,Çocuk mantığının gelişimi,Розвиток логіки дитини,Sự phát triển logic của trẻ
purchase_advantages_8,116,Жазылуу аркылуу толук мүмкүнчүлүк,Full access by subscription,Полный доступ по подписке,الوصول الكامل عن طريق الاشتراك,Пълен достъп чрез абонамент,Accés complet per subscripció,Potpuni pristup putem pretplate,Plný přístup prostřednictvím předplatného,Fuld adgang ved abonnement,Volledige toegang via abonnement,Täielik juurdepääs tellimuse alusel,Täysi pääsy tilauksella,Accès complet sur abonnement,Voller Zugriff per Abonnement,Πλήρης πρόσβαση με συνδρομή,גישה מלאה באמצעות מנוי,सदस्यता द्वारा पूर्ण पहुंच,Teljes hozzáférés előfizetéssel,Akses penuh dengan berlangganan,Accesso completo tramite abbonamento,サブスクリプションによるフルアクセス,구독을 통한 전체 액세스,Pilna piekļuve ar abonementu,Pilna prieiga prenumeruojant,Akses penuh melalui langganan,Full tilgang med abonnement,Pełny dostęp w ramach subskrypcji,Acesso total por assinatura,Acces complet prin abonament,Потпуни приступ путем претплате,通过订阅获得完全访问权限,Úplný prístup na základe predplatného,Popoln dostop z naročnino,Acceso completo mediante suscripción,Full tillgång genom prenumeration,Buong pag-access sa pamamagitan ng subscription,เข้าถึงได้เต็มรูปแบบโดยการสมัครสมาชิก,Abonelikle tam erişim,Повний доступ за підпискою,Toàn quyền truy cập bằng cách đăng ký
purchase_advantages_9,117,Жаркын анимация,Bright animation,Яркая анимация,الرسوم المتحركة الساطعة,Ярка анимация,Animació brillant,Svijetla animacija,Jasná animace,Lys animation,Heldere animatie,Hele animatsioon,Kirkas animaatio,Animation lumineuse,Helle Animation,Φωτεινό κινούμενο σχέδιο,אנימציה בהירה,उज्ज्वल एनिमेशन,Fényes animáció,Animasi cerah,Animazione brillante,明るいアニメーション,밝은 애니메이션,Spilgta animācija,Ryški animacija,Animasi terang,Lys animasjon,Jasna animacja,Animação brilhante,Animație strălucitoare,Светла анимација,明亮的动画,Svetlá animácia,Svetla animacija,Animación brillante,Ljus animation,Maliwanag na animation,แอนิเมชั่นที่สดใส,Parlak animasyon,Яскрава анімація,Hoạt hình tươi sáng
purchase_advantages_12,120,Балдардын профессионалдык мазмуну,Professional children's content,Профессиональный детский контент,محتوى احترافي للأطفال,Професионално детско съдържание,Contingut professional per a nens,Profesionalni dječji sadržaj,Profesionální dětský obsah,Professionelt børneindhold,Professionele kindercontent,Professionaalne laste sisu,Ammattimainen lastensisältö,Contenu professionnel pour enfants,Professionelle Kinderinhalte,Επαγγελματικό παιδικό περιεχόμενο,תוכן מקצועי לילדים,व्यावसायिक बच्चों की सामग्री,Professzionális gyermektartalom,Konten anak-anak profesional,Contenuti professionali per bambini,プロフェッショナルな子供向けコンテンツ,전문적인 어린이 콘텐츠,Profesionāls bērnu saturs,Profesionalus turinys vaikams,Kandungan kanak-kanak profesional,Profesjonelt barneinnhold,Profesjonalne treści dla dzieci,Conteúdo infantil profissional,Conținut profesional pentru copii,Професионални садржај за децу,专业儿童内容,Profesionálny detský obsah,Profesionalne otroške vsebine,Contenidos profesionales para niños,Professionellt barninnehåll,Propesyonal na nilalaman ng mga bata,เนื้อหาสำหรับเด็กอย่างมืออาชีพ,Profesyonel çocuk içeriği,Професійний дитячий контент,Nội dung chuyên nghiệp dành cho trẻ em
