Key	Id	English(en)	Russian(ru)	Arabic(ar)	Bulgarian(bg)	Catalan(ca)	Croatian(hr)	Czech(cs)	Danish(da)	Dutch(nl)	Estonian(et)	Finnish(fi)	French(fr)	German(de)	Greek(el)	Hebrew(he)	Hindi(hi)	Hungarian(hu)	Indonesian(id)	Italian(it)	Japanese(ja)	Korean(ko)	Latvian(lv)	Lithuanian(lt)	Malay(ms)	Norwegian(no)	Polish(pl)	Portuguese(pt)	Romanian(ro)	Serbian(sr)	Chinese (Simplified)(zh-Hans)	Slovak(sk)	Slovenian(sl)	Spanish(es)	Swedish(sv)	Filipino (Philippines)(fil-PH)	Thai(th)	Turkİsh(tr)	Ukrainian(uk)	Vietnamese(vi)
category_food	11	Food	Еда	طعام	Храна	Menjar	Hrana	Jídlo	Mad	Eten	Toit	Ruoka	Nourriture	Essen	Τροφή	מזון	भोजन	Étel	Makanan	Cibo	食べ物	음식	Ēdiens	Maistas	Makanan	Mat	Jedzenie	Comida	Mâncare	Храна	食物	Jedlo	Hrana	Comida	Mat	Pagkain	อาหาร	Yemek	Їжа	Thức ăn
category_farm	12	Farm	Ферма	مزرعة	Ферма	Granja	Farma	Farma	Gård	Boerderij	Talu	Maatila	Ferme	Bauernhof	Φάρμα	חווה	खेत	Tanya	Peternakan	Fattoria	農場	농장	Saimniecība	Ūkis	Ladang	Gård	Farma	Fazenda	Ferma	Фарма	农场	Farma	Kmetija	Granja	Gård	Sakahan	ฟาร์ม	Çİftlİk	Ферма	Trang trại
category_fruits	13	Fruits	Фрукты	فواكه	Плодове	Fruites	Voće	Ovoce	Frugter	Fruit	Puuviljad	Hedelmät	Fruits	Früchte	Φρούτα	פירות	फल	Gyümölcsök	Buah	Frutta	果物	과일	Augļi	Vaisiai	Buah-buahan	Frukt	Owoce	Frutas	Fructe	Воће	水果	Ovocie	Sadje	Frutas	Frukter	Prutas	ผลไม้	Meyveler	Фрукти	Trái cây
category_insects	14	Insects	Насекомые	حشرات	Насекоми	Insectes	Insekti	Hmyz	Insekter	Insecten	Putukad	Hyönteiset	Insectes	Insekten	Έντομα	חרקים	कीड़े	Rovarok	Serangga	Insetti	昆虫	곤충	Kukaiņi	Vabzdžiai	Serangga	Insekter	Owady	Insetos	Insecte	Инсекти	昆虫	Hmyz	Insekti	Insectos	Insekter	Insekto	แมลง	Böcekler	Комахи	Côn trùng
category_space	15	Space	Космос	الفضاء	Космос	Espai	Svemir	Vesmír	Rummet	Ruimte	Kosmos	Avaruus	Espace 	Weltraum 	Διάστημα 	חלל	अंतरिक्ष	Űr	Ruang angkasa	Spazio 	宇宙 	우주	Kosmoss	Kosmosas	Angkasa	Verdensrommet	Kosmos	Espaço	Spațiu	Свемир	太空	Vesmír	Vesolje	Espacio	Rymd	Kalawakan	อวกาศ	Uzay	Космос	Vũ trụ
category_robots	16	Robots	Роботы	روبوتات	Роботи	Robots	Roboti	Roboti	Robotter	Robots	Robotid	Robotit	Robots	Roboter	Ρομπότ	רובוטים	रोबोट	Robotok	Robot	Robot	ロボット	로봇	Roboti	Robotai	Robot	Roboter	Roboty	Robôs	Roboți	Роботи	机器人	Roboti	Roboti	Robots	Robotar	Robot	หุ่นยนต์	Robotlar	Роботи	Rô bốt
category_shapes	17	Shapes	Фигуры	أشكال	Форми	Formes	Oblici	Tvary	Former	Vormen	Kujundid	Muodot	Formes	Formen	Σχήματα	צורות	आकृतियाँ	Formák	Bentuk	Forme	形	도형	Formas	Formos	Bentuk	Former	Kształty	Formas	Forme	Облици	形状	Tvary	Oblike	Formas	Former	Hugis	รูปร่าง	Şekİller	Форми	Hình dạng
category_vehicles	18	Vehicles	Транспорт	مركبات	Превозни средства	Vehicles	Vozila	Vozidla	Køretøjer	Voertuigen	Sõidukid	Ajoneuvot	Véhicules	Fahrzeuge	Οχήματα	כלי רכב	वाहन	Járművek	Kendaraan	Veicoli	車両	차량	Transportlīdzekļi	Transporto priemonės	Kenderaan	Kjøretøy	Pojazdy	Veículos	Vehicule	Возила	车辆	Vozidlá	Vozila	Vehículos	Fordon	Sasakyan	ยานพาหนะ	Araçlar	Транспорт	Phương tiện
check_if_parent	19	Please calculate	вычислите решение	يرجى الحساب	Моля, изчислете	Si us plau, calcula	Molimo izračunajte	Prosím, vypočítejte	Venligst beregn	Gelieve te berekenen	Palun arvutage	Laske, ole hyvä	Veuillez calculer	Bitte berechnen	Παρακαλώ, υπολογίστε	בבקשה חישוב	कृपया गणना करें	Kérjük, számítsd ki	Silakan hitung	Per favore, calcola	計算してください	계산해 주세요	Lūdzu, aprēķiniet	Prašome apskaičiuoti	Sila kira	Vennligst beregn	Proszę, oblicz	Por favor, calcule	Te rog, calculează	Молим, израчунајте	请计算	Prosím, vypočítajte	Prosim, izračunaj	Por favor, calcula	Vänligen beräkna	Pakiusap, Kalkulahin	กรุณาคำนวณ	Lütfen hesaplayın	Будь ласка, обчисліть	Vui lòng tính toán
promo_in_free_ctgr	20	Get full access for $4.99	Получите полный доступ за $4.99	احصل على الوصول الكامل مقابل $4.99	Получете пълен достъп за $4.99	Obteniu accés complet per $4.99	Dobijte puni pristup za $4.99	Získejte plný přístup za $4.99	Få fuld adgang for $4.99	Verkrijg volledige toegang voor $4.99	Saate täisjuurdepääsu hinnaga $4.99	Hanki täysi pääsy hintaan $4.99	Obtenez un accès complet pour $4.99	Erhalte vollen Zugang für $4.99	Αποκτήστε πλήρη πρόσβαση για $4.99	קבל גישה מלאה עבור $4.99	पूर्ण पहुँच प्राप्त करें $4.99 में	Teljes hozzáférést kapsz $4.99-ért	Dapatkan akses penuh seharga $4.99	Ottieni accesso completo per $4.99	$4.99 でフルアクセスを取得	$4.99로 전체 액세스 얻기	Iegūstiet pilnu piekļuvi par $4.99	Gaukite visą prieigą už $4.99	Dapatkan akses penuh untuk $4.99	Få full tilgang for $4.99	Uzyskaj pełny dostęp za $4.99	Obtenha acesso completo por $4.99	Obține acces complet pentru $4.99	Остварите потпун приступ за $4.99	获取完整访问权限，价格为$4.99	Získajte plný prístup za $4.99	Pridobite popoln dostop za $4.99	Obtén acceso completo por $4.99	Få full åtkomst för $4.99	Kumuha ng buong access para sa $4.99	เข้าถึงเต็มรูปแบบในราคา $4.99	$4.99 İçİn tam erİşİm alın	Отримайте повний доступ за $4.99	Nhận quyền truy cập đầy đủ với giá $4.99
category_free	21	Free	Бесплатно	مجاني	Безплатно	Gratis	Besplatno	Zdarma	Gratis	Gratis	Tasuta	Ilmainen	Gratuit	Frei	Δωρεάν	חופשי	नि: शुल्क	Ingyenes	Gratis	Gratis	無料	무료	Bezmaksas	Nemokama	Percuma	Gratis	Darmowe	Grátis	Gratuit	Бесплатно	免费	Zadarmo	Brezplačno	Gratis	Gratis	Libre	ฟรี	Ücretsİz	Безкоштовно	Miễn phí
full_access	22	FULL ACCESS	ПОЛНЫЙ ДОСТУП	الوصول الكامل	ПЪЛЕН ДОСТЪП	ACCÉS COMPLET	PUNI PRISTUP	PLNÝ PŘÍSTUP	FULDT ADGANG	VOLLEDIGE TOEGANG	TÄIELIK JUURDEPÄÄS	TÄYSI PÄÄSY	ACCÈS COMPLET	VOLLER ZUGANG	ΠΛΗΡΗΣ ΠΡΟΣΒΑΣΗ	גישה מלאה	पूर्ण पहुँच	TELJES HOZZÁFÉRÉS	AKSES PENUH	ACCESSO COMPLETO	フルアクセス	전체 액세스	PILNA PIEKĻUVE	PILNA PRIEIGA	AKSES PENUH	FULL TILGANG	PEŁNY DOSTĘP	ACESSO COMPLETO	ACCES COMPLET	ПУН ПРИСТУП	完整访问	PLNÝ PRÍSTUP	POPOLN DOSTOP	ACCESO COMPLETO	FULL ÅTKOMST	BUONG ACCESS	การเข้าถึงทั้งหมด	TAM ERİŞİM	ПОВНИЙ ДОСТУП	QUYỀN TRUY CẬP ĐẦY ĐỦ
for_parents_about_us_titile	23	About us	О нас	من نحن	За нас	Sobre nosaltres	O nama	O nás	Om os	Over ons	Meist	Tietoa meistä	À propos de nous	Über uns	Σχετικά με εμάς	אודותינו	हमारे बारे में	Rólunk	Tentang Kami	Chi siamo	私たちについて	회사 소개	Par mums	Apie mus	Tentang Kami	Om oss	O nas	Sobre nós	Despre noi	О нама	关于我们	O nás	O nas	Acerca de nosotros	Om oss	Tungkol sa Amin	เกี่ยวกับเรา	Hakkımızda	Про нас	Giới thiệu về chúng tôi
